AirportNode,PageRankValue
MWA,0.01998381349388952
LGD,0.019930774536867285
SAF,0.019752836914939873
OTH,0.01972041771930199
BJI,0.019648295218535287
WMK,0.019564180584690487
BQN,0.019417704569420807
LMT,0.019142716444932793
MKG,0.019049561899518157
SHD,0.018711940022009106
NGU,0.01849985763254517
SLN,0.018002318701387708
PDB,0.017814141186199943
ESC,0.017693218180258978
MMU,0.017563549363545167
JZE,0.017380619787571355
BIH,0.016919325949156034
BAF,0.0168433212034155
VDZ,0.016836895765585967
SKF,0.016810628069458836
TN8,0.01676017590721048
RBG,0.016657801226126024
MTH,0.016387577738579715
TXK,0.016198611126293578
KEH,0.015707633800182367
LGU,0.01567750622174049
SVC,0.015657610094275763
DIK,0.015646720533598446
PQI,0.015615122118628713
CCR,0.015597449247358706
VIS,0.015596906851835608
BPT,0.01556996797130653
SKW,0.015569419869178876
CIU,0.015553232519675213
PUB,0.015536602826480572
CMX,0.015535385188580874
MSL,0.015488124395585204
EHM,0.015441327047862715
SMN,0.015418816953748223
HHH,0.015386657358616778
BGM,0.015377882239355226
JZT,0.015300655960948576
UKI,0.015274954688841552
OGD,0.015263911959507458
MPB,0.01521743097470001
EAT,0.015175075455010656
PSM,0.015166695336246594
TKE,0.015133470234525366
PGA,0.015123470133034726
IMT,0.015117579203104314
PIB,0.015095185868852976
PRC,0.015075212157415268
EWN,0.015068463336312817
SBY,0.014985408703849087
VCV,0.014966002427498619
PVU,0.014948777031489873
ABR,0.014797910382930757
BKW,0.01477296612290363
LUR,0.014648155267133457
ISM,0.014463429774439736
SRV,0.01439538216330533
SUA,0.014207941391902124
IKO,0.014113182347024427
PIR,0.013649053097284728
CLD,0.013432601969894386
SPS,0.013418486773775789
ELV,0.013223307931764811
RVS,0.012416232489018138
FMN,0.012079173387721296
IPT,0.011779692269424689
A27,0.011735518292329149
VIK,0.011735518292329149
GBH,0.011735518292329149
A26,0.011735518292329149
CKX,0.011598896280466314
BJC,0.01149252875528644
PNE,0.011415542558300547
A20,0.01123910736772828
A1K,0.01123910736772828
BWD,0.011237423087050401
ATO,0.011142933577214766
LUK,0.011133470058951461
GFL,0.01112220614540422
OCF,0.011110942602163375
SAC,0.011107323261705234
JRA,0.011083324951179693
NUQ,0.010994881672288232
WRI,0.010954754077373407
LSF,0.01094163865934701
FTY,0.010883626413277548
